user_id,employee_id,email_address,first_name,last_name,department,job_title,office_location,division,cost_center,campaign_name,phishing_template,template_difficulty,campaign_type,industry_template,email_language,clicked_email,opened_email,replied_to_email,opened_attachment,enabled_macro,entered_data,reported_email,response_time_click,response_time_report,ip_address,browser_used,operating_system,mobile_device,vpn_connection,two_factor_enabled,password_manager,delivery_status,timezone,phish_prone_percentage,current_risk_score,baseline_test_score,last_training_score,security_proficiency,risk_level,failure_count_12m,success_count_12m,previous_training_completed,groups,manager_email,active_directory,custom_field_1,custom_field_2
EMP_0542,EMP_0542,emp_0542@company.com,User0542,LastName542,Marketing,Executive,Chicago,Europe,CC-9346,Q3 2024 - Financial Request,Financial Request,Medium,Phishing,Generic,English,False,False,False,False,False,False,True,,509.0,192.168.30.249,Edge,Windows 10,True,True,True,True,Delivered,JST,0.0,89.4,80,,Advanced,Low,4,2,False,Marketing - Chicago,manager_marketing@company.com,True,Level 3,Remote
EMP_0422,EMP_0422,emp_0422@company.com,User0422,LastName422,Operations,Director,Tokyo,Asia-Pacific,CC-9456,Q3 2025 - Account Verification,Account Verification,Medium,Phishing,Technology,Spanish,False,True,False,False,False,False,True,,126.0,192.168.55.251,Safari,Windows 11,False,True,True,True,Delivered,GMT,11.7,84.4,81,,Novice,Medium,6,6,False,Operations - Tokyo,manager_operations@company.com,True,Level 2,Remote
EMP_0778,EMP_0778,emp_0778@company.com,User0778,LastName778,Legal,Employee,Frankfurt,North America,CC-4899,Q3 2025 - VPN Access,VPN Access,Low,Phishing,Technology,English,False,True,False,False,False,False,False,,,192.168.85.195,Chrome,Windows 11,True,False,False,True,Delivered,JST,14.5,71.7,66,84.0,Advanced,Medium,5,3,True,Legal - Frankfurt,manager_legal@company.com,True,Level 2,Remote
EMP_0306,EMP_0306,emp_0306@company.com,User0306,LastName306,HR,Employee,New York,Europe,CC-4340,Q1 2024 - Survey Request,Survey Request,Low,Phishing,Generic,English,True,True,False,False,False,True,True,64.0,352.0,192.168.67.154,Chrome,Windows 11,False,False,True,False,Delivered,GMT,28.7,48.0,79,91.0,Intermediate,High,6,3,True,HR - New York,manager_hr@company.com,True,Level 1,Remote
EMP_1171,EMP_1171,emp_1171@company.com,User1171,LastName171,Sales,Employee,Chicago,Asia-Pacific,CC-2312,Q2 2024 - IT Support,IT Support,Low,Phishing,Financial,English,False,True,False,False,False,False,False,,,192.168.246.19,Chrome,Windows 11,False,True,True,False,Delivered,GMT,24.5,72.7,85,72.0,Intermediate,High,6,4,True,Sales - Chicago,manager_sales@company.com,True,Level 3,On-site
EMP_0685,EMP_0685,emp_0685@company.com,User0685,LastName685,Legal,Employee,New York,Asia-Pacific,CC-4534,Q3 2024 - Software Update,Software Update,Low,Phishing,Healthcare,English,False,True,False,False,False,False,True,,24.0,192.168.171.107,Chrome,Windows 10,False,True,False,True,Delivered,PST,8.9,97.4,82,96.0,Novice,Low,3,3,True,Legal - New York,manager_legal@company.com,True,Level 1,Remote
EMP_0245,EMP_0245,emp_0245@company.com,User0245,LastName245,Operations,Employee,New York,Asia-Pacific,CC-3296,Q1 2024 - Survey Request,Survey Request,Medium,Vishing,Healthcare,English,False,True,False,False,False,False,False,,,192.168.28.169,Chrome,Windows 10,True,False,True,True,Delivered,EST,14.4,69.0,65,82.0,Advanced,Medium,5,3,True,Operations - New York,manager_operations@company.com,True,Level 1,Hybrid
EMP_1059,EMP_1059,emp_1059@company.com,User1059,LastName059,Sales,Employee,Sydney,North America,CC-2871,Q3 2025 - Account Verification,Account Verification,Low,Phishing,Financial,English,False,False,False,False,False,False,False,,,192.168.25.16,Chrome,Windows 10,True,True,True,False,Delivered,EST,26.3,58.9,93,,Novice,High,4,14,False,Sales - Sydney,manager_sales@company.com,True,Level 3,Hybrid
EMP_0756,EMP_0756,emp_0756@company.com,User0756,LastName756,HR,Employee,Sydney,Europe,CC-1622,Q1 2025 - HR Communication,HR Communication,Low,Phishing,Generic,French,False,True,False,False,False,False,True,,358.0,192.168.99.121,Edge,Windows 10,False,True,True,True,Delivered,JST,17.4,99.0,72,73.0,Intermediate,Medium,4,11,True,HR - Sydney,manager_hr@company.com,True,Level 2,Remote
EMP_0485,EMP_0485,emp_0485@company.com,User0485,LastName485,IT,Employee,San Francisco,Asia-Pacific,CC-5588,Q4 2025 - VPN Access,VPN Access,Low,Phishing,Healthcare,English,True,False,False,False,True,True,False,8.0,,192.168.218.179,Edge,Windows 10,True,True,True,True,Delivered,PST,30.6,37.2,72,,Intermediate,High,6,13,False,IT - San Francisco,manager_it@company.com,True,Level 2,Remote
EMP_0956,EMP_0956,emp_0956@company.com,User0956,LastName956,R&D,Manager,Tokyo,Europe,CC-7738,Q4 2025 - Software Update,Software Update,Medium,Phishing,Financial,English,False,True,False,False,False,False,False,,,192.168.211.49,Chrome,Windows 10,False,True,True,False,Delivered,GMT,6.4,84.0,72,76.0,Advanced,Low,1,3,True,R&D - Tokyo,manager_r&d@company.com,True,Level 2,Remote
