participant_age,participant_gender,participant_gender_other,participant_ethnicity,participant_ethnicity_other,education_level,employment_status,annual_income,has_it_training,has_it_job,can_recall_phishing,digital_literacy_wiki,digital_literacy_meme,digital_literacy_phishing,digital_literacy_bookmark,digital_literacy_cache,digital_literacy_ssl,digital_literacy_ajax,digital_literacy_rss,final_decision,decision_confidence,overall_suspicion,suspicion_confidence,investigation_methods,investigation_other,contacted_sender_how,emotion_dread,emotion_terror,emotion_anxiety,emotion_nervous,emotion_scared,emotion_panic,emotion_fear,emotion_worry,email_features_noticed,email_recency,email_account_type,email_account_other,email_content_type,email_content_other,email_sender_type,email_sender_other,felt_similar_before,previous_sender_emails,previous_sender_interaction,sender_relationship_duration,expected_this_email,email_seemed_different,actions_requested,sender_issues,subject_line_issues,email_body_issues,actions_with_email,perceived_harm,incident_story,story_recall_ease,previous_incidents
20,Man,,White,,"Some college, no 4-year degree",Student,"Less than $25,000",No,No,"Yes, I have received email messages like this in the past.",Good,Full,,Full,Little,,,,"No, the email was definitely not safe",9,"No, I did not think it was harmful",11,Hovered over one or more of the links in the email to see where it went,,I went to the website of the sender,Not at all,Not at all,Not at all,Moderately,Not at all,Not at all,Somewhat,Somewhat,"Sender's name,Request for action in the email",Within the last week,Student Email account,,"Other (please describe, briefly)",Company warning me of security breach,"A company, business or other organization",,Strongly agree,Yes,No,I did not know the sender,No,Somewhat disagree,"Click on a link or button,Take some action outside of the email",I didn't notice anything that felt off about the sender,I didn't notice anything that felt off about the subject line,I didn't notice anything that felt off about the main body of the email,Deleted the email,Strongly disagree,I got an email in my inbox from a sender that said Apple ID.  The email told me someone had gotten into my account and I needed to change my password.  I clicked on the link in the email and it was a fake apple page that wanted my current password and username. I realized it was fake before putting in my information luckily.,Somewhat easy,"Received a notification from a company that your information was involved in a data breach,Had a virus on your computer or mobile device"
40,Man,,White,,4-year college degree,Employed full time,"$75,000 to $99,999",No,No,"Yes, I have received email messages like this in the past.",Full,Full,Full,Full,Full,Full,Full,Full,"No, the email was definitely not safe",11,I was not sure about whether it was harmful or not,6,Hovered over one or more of the links in the email to see where it went,,I went to the website of the sender,Not at all,Somewhat,Quite a bit,Moderately,Somewhat,Quite a bit,Moderately,Quite a bit,"Link(s) in the email,What the email was about,Sender's name,Company or business the sender belonged to,Mistakes or poor quality",Within the last year,Personal Email account,,This email was of a personal nature,,"A company, business or other organization",,Somewhat agree,I'm not sure,Yes,Five to ten years,No,Somewhat agree,Click on a link or button,I didn't notice anything that felt off about the sender,I didn't notice anything that felt off about the subject line,"The main body of the email included typos or other issues that I didn't expect to be in an email like this,The main body of the email was missing something that I would expect to be in an email like this,The main body of the email included less information than I expect to be in an email like this",Deleted the email,Strongly disagree,"I got an email saying AT order.  I had previously placed an order with Ann Taylor, so I thought it was about that.  Reading the email, it said there was an issue.  But then I noticed a typo.  I went back, and noticed a lot more typos.  I went to Ann Taylor's website and it told me my order had been delivered yesterday! I deleted the email.",Extremely easy,"Fell victim to a phishing email message or other scam email,Someone broke in or hacked your computer, mobile device, or account"
21,Man,,Asian,,,,,I'm not sure,No,"Yes, I have received email messages like this in the past.",,,,,,,,,,,,,,,,,,,,,,,,Images in the email,Longer than one year ago,,,,,,,,,,,,,,,,,,,,,
60,Woman,,White,,High school graduate or GED certificate,Unemployed looking for work,"$35,000 to $49,999",No,No,"Yes, I have received email messages like this in the past.",Some,Good,Good,Good,Some,Some,,Some,"No, the email was definitely not safe",11,"Yes, I thought it was harmful",10,"Looked more closely at the the email address the email came from,Asked someone else about the email",,I contacted the sender via phone,Somewhat,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Somewhat,What the email was about,Within the last week,Personal Email account,,This email was of a personal nature,,"A company, business or other organization",,Somewhat disagree,No,No,More than 10 years,No,Strongly agree,I don't remember,The sender's email address looked different than I would expect,The subject line was different than I would expect,I don't remember much about the main body of the email,"Deleted the email,Clicked a button to report the email as spam",Strongly disagree,"I received an email appearing to be from my bank stating there was an issue with one of my accounts.  However, the email just did not look right, and we all know how we live in a world of scammers.  So I did not open the email, but instead called my bank.  Upon discussing the email with my bank I was advised by my bank that it was a scam email.",Somewhat easy,Stranger used your credit card number without your knowledge or permission
29,Woman,,White,,,,,No,No,"Yes, I have received email messages like this in the past.",,,,,,,,,,,,,,,,,,,,,,,,File(s) attached to the email,Within the last month,,,,,,,,,,,,,,,,,,,,,
66,Woman,,Black or African American,,High school graduate or GED certificate,Retired,"Less than $25,000",No,No,"Yes, I have received email messages like this in the past.",Some,Full,Full,Full,Little,Little,Little,Little,"No, the email was definitely not safe",10,"Yes, I thought it was harmful",10,None of the above,,I did not try to contact the sender,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,"Sender's name,Request for action in the email,Length of the email",Within the last year,Personal Email account,,This email was of a personal nature,,"A company, business or other organization",,Strongly agree,No,No,I did not know the sender,No,Strongly agree,Take some action outside of the email,The sender's email address looked different than I would expect,The subject line was different than I would expect,"The main body of the email included something strange that I do not normally see in an email like this,The main body of the email included more information than I expect to be in an email like this",Deleted the email,Somewhat disagree,"I received an email from a person pretending to be an attorney for a loan company saying if I didn’t pay X number of money I would be arrested in the next 24 hours.
 The sheriff will be standing at my door in 24 hours. I was also going to be reported at my job in the next few hours.
  I have not worked in about 25 years.",Extremely easy,"Received a notification from a company that your information was involved in a data breach,Had a virus on your computer or mobile device,Someone broke in or hacked your computer, mobile device, or account,Stranger used your credit card number without your knowledge or permission"
45,Man,,White,,4-year college degree,Employed full time,"$100,000 to $149,999",I'm not sure,No,"Yes, I have received email messages like this in the past.",Full,Full,Little,Full,Full,Full,Little,Little,"No, the email was definitely not safe",11,"Yes, I thought it was harmful",10,Looked at email headers,,I did not try to contact the sender,Not at all,Not at all,Moderately,Not at all,Not at all,Not at all,Moderately,Quite a bit,"Link(s) in the email,What the email was about,Request for action in the email",Within the last week,Personal Email account,,This email was of a personal nature,,"A company, business or other organization",,Strongly agree,I'm not sure,No,I did not know the sender,No,Strongly agree,"Respond to the email with some information,Take some action outside of the email",I don't remember who the email said it was from,The subject line was different than I would expect,I didn't notice anything that felt off about the main body of the email,Deleted the email,Strongly disagree,"I received an email from a so called government grant agency issuing out grants to citizens. It stated that I had qualified for a grant, listed a bunch of weird reasons why I'd be required to pay a fee to have the money released to me. When I saw the message, I thought for a bit if it were true, but after reviewing the email, it dawned on me that it was shady and most likely a scam. So I deleted the email at once. ",Somewhat easy,"Fell victim to a phishing email message or other scam email,Had a virus on your computer or mobile device,Someone broke in or hacked your computer, mobile device, or account"
68,Man,,White,,"Some postgraduate or professional schooling, no postgraduate degree",Retired,"Less than $25,000",No,No,"Yes, I have received email messages like this in the past.",Some,Full,Full,Good,Little,,,,I don't remember,8,"No, I did not think it was harmful",8,None of the above,,I did not try to contact the sender,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,"What the email was about,Request for action in the email",Within the last month,Personal Email account,,This email was of a personal nature,,Other (please describe),a complete stranger ,Strongly agree,No,No,I did not know the sender,No,Strongly agree,Respond to the email with some information,I don't remember who the email said it was from,I don't remember much about the subject line of the email,I didn't notice anything that felt off about the main body of the email,Clicked a button to report the email as spam,Strongly disagree,"I received this email from a guy who wanted to share his fortune with me. Now this seemed dubious  to me as the 1950s show the Millionaire was fiction.  Also I had heard this was a common ruse to obtain personal info. So I reported it as phishing. Actually as I recount this I think there was a precursor to this, purportedly from a female MD,  asking me if I was interested in a grant. So I opened it,  where normally I ignore items like this.",Somewhat easy,None of the above
81,Woman,,White,,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",Retired,"$25,000 to $34,999",No,No,"Yes, I have received email messages like this in the past.",Good,Little,Little,Good,Full,,,,"No, the email was definitely not safe",11,"Yes, I thought it was harmful",11,Asked someone else about the email,,I did not try to contact the sender,Somewhat,Moderately,Quite a bit,Moderately,Moderately,Somewhat,Moderately,Quite a bit,"Link(s) in the email,Sender's name,Request for action in the email,Mistakes or poor quality",Within the last month,Personal Email account,,This email was of a personal nature,,"A company, business or other organization",,Strongly agree,I'm not sure,No,I did not know the sender,No,Strongly agree,"Click on a link or button,Respond to the email with some information",The sender's email address looked different than I would expect,The subject line was different than I would expect,The main body of the email included typos or other issues that I didn't expect to be in an email like this,Deleted the email,Strongly agree,"If you, like me, use Amazon, you know there is a lot of information that passes back and forth, about your money and their goods.  So when I received an email out of the blue from Amazon saying that my account was suspended until I replied by clicking a link to verify information, I felt sudden fear.  Had my account been hacked? Did someone charge thousands of dollars in my name. Of course I wanted to fix this immediately. But first, I noticed something. Amazon had never sent me threatening messages before. There was a misspelling. The tone was off. I clicked on the identity of the sender (without opening the link) and I saw the email came from some unintelligible address and not an Amazon address. Without opening the link I called Amazon and then deleted, following with a new virus scan. ",Extremely difficult,"Received a notification from a company that your information was involved in a data breach,Stranger used your credit card number without your knowledge or permission"
35,Woman,,White,,"Some college, no 4-year degree",Employed full time,"$75,000 to $99,999",No,No,"Yes, I have received email messages like this in the past.",Good,Full,,Good,Some,Some,Some,Good,"Yes, the email was safe",10,"Yes, I thought it was harmful",10,Looked more closely at the the email address the email came from,,"I contacted the sender through another communications medium (texting, chat, social media)",Not at all,Not at all,Somewhat,Somewhat,Not at all,Moderately,Moderately,Somewhat,"What the email was about,Mistakes or poor quality",Within the last month,Personal Email account,,This email was of a personal nature,,"A company, business or other organization",,Somewhat disagree,No,I'm not sure,I did not know the sender,No,Strongly agree,Click on a link or button,The sender's email address looked different than I would expect,The subject line was different than I would expect,The main body of the email included typos or other issues that I didn't expect to be in an email like this,Clicked a button to report the email as spam,Strongly disagree,"So, I received a funny mail saying I must make a purchase or else I won't live. Can you believe that!
I was in total shock in seeing it. I had to make further findings on the sender of the mail. It was so shocking, terrifying and serious. I was told to click a link but I ignored only to find out more about the mail.",Somewhat easy,Fell victim to a phishing email message or other scam email
