User ID,Email,First Name,Last Name,Department,Title,Location,Campaign Name,Template,Sent Date,Opened,Clicked,Replied,Attachment Opened,Macro Enabled,Data Entered,Reported,Time to Click (seconds),Time to Report (seconds),IP Address,Browser,Operating System,Delivery Status,Difficulty,Phish-prone Percentage,Current Risk Score,Previous Training Completed,Training Completion Date,Groups,Manager Email,Employee ID,Hire Date,Active Directory,Division,Cost Center,Custom Field 1,Custom Field 2,Baseline Test Score,Last Training Score,Security Awareness Proficiency,Risk Level,Failure Count (12 months),Success Count (12 months),Last Failure Date,Campaign Type,Industry Template,Language,Time Zone,Mobile Device,VPN Connection,Two Factor Enabled,Password Manager
EMP_0542,emp_0542@company.com,User0542,LastName542,Marketing,Executive,Chicago,Q3 2024 - Financial Request,Financial Request,12/07/2024 17:14,False,False,False,False,False,False,True,,509.0,192.168.30.249,Edge,Windows 10,Delivered,Medium,0.0,89.4,False,,Marketing - Chicago,manager_marketing@company.com,EMP_0542,11/20/2022,True,Europe,CC-9346,Level 3,Remote,80,,Advanced,Low,4,2,,Phishing,Generic,English,JST,True,True,True,True
EMP_0422,emp_0422@company.com,User0422,LastName422,Operations,Director,Tokyo,Q3 2025 - Account Verification,Account Verification,01/04/2025 17:14,True,False,False,False,False,False,True,,126.0,192.168.55.251,Safari,Windows 11,Delivered,Medium,11.7,84.4,False,,Operations - Tokyo,manager_operations@company.com,EMP_0422,08/24/2022,True,Asia-Pacific,CC-9456,Level 2,Remote,81,,Novice,Medium,6,6,,Phishing,Technology,Spanish,GMT,False,True,True,True
EMP_0778,emp_0778@company.com,User0778,LastName778,Legal,Employee,Frankfurt,Q3 2025 - VPN Access,VPN Access,06/15/2025 17:14,True,False,False,False,False,False,False,,,192.168.85.195,Chrome,Windows 11,Delivered,Low,14.5,71.7,True,11/02/2020,Legal - Frankfurt,manager_legal@company.com,EMP_0778,10/03/2020,True,North America,CC-4899,Level 2,Remote,66,84.0,Advanced,Medium,5,3,,Phishing,Technology,English,JST,True,False,False,True
EMP_0306,emp_0306@company.com,User0306,LastName306,HR,Employee,New York,Q1 2024 - Survey Request,Survey Request,07/14/2024 17:14,True,True,False,False,False,True,True,64.0,352.0,192.168.67.154,Chrome,Windows 11,Delivered,Low,28.7,48.0,True,11/28/2024,HR - New York,manager_hr@company.com,EMP_0306,10/29/2024,True,Europe,CC-4340,Level 1,Remote,79,91.0,Intermediate,High,6,3,05/10/2024,Phishing,Generic,English,GMT,False,False,True,False
EMP_1171,emp_1171@company.com,User1171,LastName171,Sales,Employee,Chicago,Q2 2024 - IT Support,IT Support,08/06/2024 17:14,True,False,False,False,False,False,False,,,192.168.246.19,Chrome,Windows 11,Delivered,Low,24.5,72.7,True,05/13/2020,Sales - Chicago,manager_sales@company.com,EMP_1171,04/13/2020,True,Asia-Pacific,CC-2312,Level 3,On-site,85,72.0,Intermediate,High,6,4,,Phishing,Financial,English,GMT,False,True,True,False
EMP_0685,emp_0685@company.com,User0685,LastName685,Legal,Employee,New York,Q3 2024 - Software Update,Software Update,08/17/2024 17:14,True,False,False,False,False,False,True,,24.0,192.168.171.107,Chrome,Windows 10,Delivered,Low,8.9,97.4,True,01/18/2021,Legal - New York,manager_legal@company.com,EMP_0685,12/19/2020,True,Asia-Pacific,CC-4534,Level 1,Remote,82,96.0,Novice,Low,3,3,,Phishing,Healthcare,English,PST,False,True,False,True
EMP_0245,emp_0245@company.com,User0245,LastName245,Operations,Employee,New York,Q1 2024 - Survey Request,Survey Request,10/19/2024 17:14,True,False,False,False,False,False,False,,,192.168.28.169,Chrome,Windows 10,Delivered,Medium,14.4,69.0,True,06/06/2023,Operations - New York,manager_operations@company.com,EMP_0245,05/07/2023,True,Asia-Pacific,CC-3296,Level 1,Hybrid,65,82.0,Advanced,Medium,5,3,,Vishing,Healthcare,English,EST,True,False,True,True
EMP_1059,emp_1059@company.com,User1059,LastName059,Sales,Employee,Sydney,Q3 2025 - Account Verification,Account Verification,01/08/2025 17:14,False,False,False,False,False,False,False,,,192.168.25.16,Chrome,Windows 10,Delivered,Low,26.3,58.9,False,,Sales - Sydney,manager_sales@company.com,EMP_1059,12/21/2020,True,North America,CC-2871,Level 3,Hybrid,93,,Novice,High,4,14,,Phishing,Financial,English,EST,True,True,True,False
EMP_0756,emp_0756@company.com,User0756,LastName756,HR,Employee,Sydney,Q1 2025 - HR Communication,HR Communication,04/02/2025 17:14,True,False,False,False,False,False,True,,358.0,192.168.99.121,Edge,Windows 10,Delivered,Low,17.4,99.0,True,09/08/2020,HR - Sydney,manager_hr@company.com,EMP_0756,08/09/2020,True,Europe,CC-1622,Level 2,Remote,72,73.0,Intermediate,Medium,4,11,,Phishing,Generic,French,JST,False,True,True,True
EMP_0485,emp_0485@company.com,User0485,LastName485,IT,Employee,San Francisco,Q4 2025 - VPN Access,VPN Access,04/26/2025 17:14,False,True,False,False,True,True,False,8.0,,192.168.218.179,Edge,Windows 10,Delivered,Low,30.6,37.2,False,,IT - San Francisco,manager_it@company.com,EMP_0485,09/26/2022,True,Asia-Pacific,CC-5588,Level 2,Remote,72,,Intermediate,High,6,13,01/11/2025,Phishing,Healthcare,English,PST,True,True,True,True
EMP_0956,emp_0956@company.com,User0956,LastName956,R&D,Manager,Tokyo,Q4 2025 - Software Update,Software Update,05/16/2025 17:14,True,False,False,False,False,False,False,,,192.168.211.49,Chrome,Windows 10,Delivered,Medium,6.4,84.0,True,02/05/2024,R&D - Tokyo,manager_r&d@company.com,EMP_0956,01/06/2024,True,Europe,CC-7738,Level 2,Remote,72,76.0,Advanced,Low,1,3,,Phishing,Financial,English,GMT,False,True,True,False
EMP_0331,emp_0331@company.com,User0331,LastName331,Marketing,Admin,San Francisco,Q2 2024 - Security Alert,Security Alert,07/28/2024 17:14,False,True,False,False,False,False,True,14.0,176.0,192.168.196.35,Edge,Windows 10,Delivered,Low,28.8,39.3,False,,Marketing - San Francisco,manager_marketing@company.com,EMP_0331,12/16/2021,True,Asia-Pacific,CC-2754,Level 2,On-site,82,,Novice,High,2,12,10/05/2023,Phishing,Financial,English,EST,False,False,True,False
EMP_0224,emp_0224@company.com,User0224,LastName224,Legal,Manager,Frankfurt,Q1 2024 - Password Expiration,Password Expiration,07/05/2024 17:14,True,False,False,False,False,False,False,,,192.168.116.151,Firefox,Windows 10,Delivered,High,0.1,86.9,True,05/14/2025,Legal - Frankfurt,manager_legal@company.com,EMP_0224,04/14/2025,True,Asia-Pacific,CC-7414,Level 2,On-site,67,84.0,Advanced,Low,5,14,,Phishing,Technology,German,EST,True,True,True,False
